table_name,ordinal_position,column_name,role_name,table_select,table_insert,table_update,table_delete,column_select,column_insert,column_update,has_column_acl
purchase_order,2,customer_profile_id,authenticated,true,true,false,true,true,true,false,false
purchase_order,2,customer_profile_id,service_role,true,true,true,true,true,true,true,false
purchase_order,3,marketplace_party_id,anon,false,false,false,false,false,false,false,false
purchase_order,3,marketplace_party_id,authenticated,true,true,false,true,true,true,false,false
purchase_order,3,marketplace_party_id,service_role,true,true,true,true,true,true,true,false
purchase_order,4,address_id,anon,false,false,false,false,false,false,false,false
purchase_order,4,address_id,authenticated,true,true,false,true,true,true,false,false
purchase_order,4,address_id,service_role,true,true,true,true,true,true,true,false
purchase_order,5,origin,anon,false,false,false,false,false,false,false,false
purchase_order,5,origin,authenticated,true,true,false,true,true,true,false,false
purchase_order,5,origin,service_role,true,true,true,true,true,true,true,false
purchase_order,6,offer_id,anon,false,false,false,false,false,false,false,false
purchase_order,6,offer_id,authenticated,true,true,false,true,true,true,false,false
purchase_order,6,offer_id,service_role,true,true,true,true,true,true,true,false
purchase_order,7,custom_offering_id,anon,false,false,false,false,false,false,false,false
purchase_order,7,custom_offering_id,authenticated,true,true,false,true,true,true,false,false
purchase_order,7,custom_offering_id,service_role,true,true,true,true,true,true,true,false
purchase_order,8,service_request_id,anon,false,false,false,false,false,false,false,false
purchase_order,8,service_request_id,authenticated,true,true,false,true,true,true,false,false
purchase_order,8,service_request_id,service_role,true,true,true,true,true,true,true,false
purchase_order,9,settlement_id,anon,false,false,false,false,false,false,false,false
purchase_order,9,settlement_id,authenticated,true,true,false,true,true,true,false,false
purchase_order,9,settlement_id,service_role,true,true,true,true,true,true,true,false
purchase_order,10,lifecycle_state,anon,false,false,false,false,false,false,false,true
purchase_order,10,lifecycle_state,authenticated,true,true,false,true,true,true,true,true
purchase_order,10,lifecycle_state,service_role,true,true,true,true,true,true,true,true
purchase_order,11,order_discount_amount,anon,false,false,false,false,false,false,false,false
purchase_order,11,order_discount_amount,authenticated,true,true,false,true,true,true,false,false
purchase_order,11,order_discount_amount,service_role,true,true,true,true,true,true,true,false
purchase_order,12,delivery_fee,anon,false,false,false,false,false,false,false,false
purchase_order,12,delivery_fee,authenticated,true,true,false,true,true,true,false,false
purchase_order,12,delivery_fee,service_role,true,true,true,true,true,true,true,false
purchase_order,13,required_upfront_amount,anon,false,false,false,false,false,false,false,false
purchase_order,13,required_upfront_amount,authenticated,true,true,false,true,true,true,false,false
purchase_order,13,required_upfront_amount,service_role,true,true,true,true,true,true,true,false
